"","beta[2]","beta[4]","beta[15]","beta[26]","beta[29]","beta[41]","beta[52]","beta[64]","beta[81]","beta[86]","beta[87]","beta[105]","beta[133]","beta[148]","beta[158]","beta[162]","beta[165]","beta[209]","beta[228]","beta[241]"
"83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.477452,0,0,0,-5.76511,0
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.2091,0
"85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.13284,0
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.91145,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.12414,0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.07428,0
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.00697,0
"90",0,0,0,0,0,0,0,0,0,0,0,0.557641,0,0,0,0,0,0,-5.70805,0
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.07547,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38075,0
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47201,0
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.248,0
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.58113,0
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.49505,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.29942,0
"98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.28531,0
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.34889,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.23222,0
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.33722,0
"102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5105,0
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.48597,0
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.69968,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.51752,0
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66658,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.61748,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.53729,0
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.75636,0
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8466,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.99025,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.60956,0
"113",-0.0885868,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.242117,0,0,0,-6.3622,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.33254,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.14971,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.93224,0
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.72024,0
"118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.03514,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.60883,0
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.68219,0
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.87266,0
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.09854,0
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.17171,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.31397,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.31987,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.40181,0
