"","beta[76]","beta[93]"
"609",8.18053,0
"610",8.29628,0
"611",7.92962,0
"612",8.30405,0
"613",8.40256,0
"614",7.60322,0
"615",7.96953,0
"616",8.32657,0
"617",9.06501,0
"618",9.0637,0
"619",8.72011,0
"620",7.59293,0
"621",7.49314,0
"622",7.83535,0
"623",7.99286,0
"624",7.38144,0
"625",8.65271,0
"626",7.66526,0
"627",7.25512,0
"628",7.19726,0
"629",7.31901,0
"630",8.35636,0
"631",8.96179,0
"632",7.87075,0
"633",7.89636,0
"634",7.65056,0
"635",8.17718,0
"636",7.7666,0
"637",7.49602,0
"638",8.31188,0
"639",8.00819,0
"640",7.93252,0
"641",7.95817,0
"642",8.29555,0
"643",8.64457,0
"644",8.94885,0
"645",9.40819,0
"646",8.77803,0
"647",8.61088,0
"648",8.40237,0
"649",8.67733,0
"650",8.41093,0
"651",8.5843,0
"652",8.69347,0
"653",8.79083,0
"654",8.62745,0
"655",8.19592,0
"656",8.82603,0
"657",8.85769,0
"658",8.94949,0
"659",8.9404,0
"660",8.83533,0
"661",8.81143,0
"662",9.00363,0
"663",9.13414,0
"664",8.56005,0
"665",8.54803,0
"666",8.95547,0
"667",8.92079,0
"668",8.95005,0
"669",8.771,0
"670",8.86,0
"671",8.88429,0
"672",8.879,0
"673",8.87529,0
"674",8.67531,0
"675",8.77287,0
"676",8.54905,0
"677",8.66426,0
"678",8.56441,0
"679",9.10659,0
"680",8.85048,0
"681",8.73449,0
"682",9.92047,0
"683",8.9681,0
"684",9.11549,0
"685",7.94979,0
"686",6.2305,0
"687",6.33172,0
"688",6.3154,0
"689",6.75322,0
"690",6.90633,0
"691",6.78841,0
"692",7.37541,0
"693",7.50721,0
"694",7.64679,0
"695",7.25754,0
"696",7.35852,0
"697",7.48951,0
"698",7.44966,0
"699",7.47245,0
"700",7.47553,0
"701",7.42919,0
"702",7.00492,0
"703",7.27262,0
"704",7.25043,0
"705",7.03978,0
"706",7.37372,0
"707",7.83363,0
"708",7.84914,0
"709",7.85524,0
"710",7.76949,0
"711",7.22835,0
"712",7.29841,0
"713",7.42142,0
"714",7.00512,0
"715",7.08949,0
"716",7.30912,0
"717",7.24896,0
"718",7.10067,0
"719",7.06792,0
"720",7.23128,0
"721",7.36832,0
"722",7.11724,0
"723",7.11106,0
"724",7.11246,0
"725",7.16582,0
"726",7.07017,0
"727",7.16937,0
"728",7.10937,0
"729",6.94571,0
"730",7.23748,0
"731",7.28694,0
"732",7.45014,0
"733",7.97053,0
"734",7.94098,0
"735",8.51823,0
"736",8.39875,0
"737",8.24553,0
"738",8.47339,0
"739",8.74861,0
"740",8.74141,0
"741",8.93023,0
"742",8.84859,0
"743",8.77661,0
"744",8.78648,0
"745",8.43848,0
"746",8.5269,0
"747",8.46495,0
"748",8.37155,0
"749",8.34258,0
"750",8.4542,0
"751",8.49617,0
"752",8.42278,0
"753",8.67945,0
"754",8.70647,0
"755",8.67161,0
"756",8.79327,0
"757",8.03045,0
"758",8.00445,0
"759",8.10803,0
"760",7.55884,0
"761",7.54472,0
"762",8.26168,0
"763",8.15832,0
"764",9.69081,0
"765",8.408,0
"766",8.84422,0
"767",8.89684,0
"768",8.12285,0
"769",8.76455,0
"770",8.99109,0
"771",7.57776,0
"772",7.87486,0
"773",7.90454,0
"774",7.85378,0
"775",7.92921,0
"776",7.70651,0
"777",8.26966,0
"778",7.3975,0
"779",7.58509,0
"780",6.55239,0
"781",8.05078,0
"782",7.32061,0
"783",7.67532,0
"784",7.43274,0
"785",7.39802,0
"786",7.36486,0
"787",7.4085,0
"788",7.49102,0
"789",7.80357,0
"790",8.55011,0
"791",8.62148,0
"792",8.16803,0
"793",7.70307,0
"794",7.6262,0
"795",7.88099,0
"796",7.78255,0
"797",7.79343,0
"798",7.96688,0
"799",8.36114,0
"800",7.60842,0
"801",7.72107,0
"802",7.94126,0
"803",8.52377,0
"804",10.3918,0
"805",10.0044,0
"806",11.7172,0
"807",10.1154,0
"808",8.74379,0
"809",9.26338,0
"810",8.35747,0
"811",8.21371,0
"812",7.84844,0
"813",10.3352,0
"814",10.4096,0
"815",10.2791,0
"816",9.86758,0
"817",9.47005,0
"818",9.29139,0
"819",8.85448,0
"820",7.80974,0
"821",7.89969,0
"822",7.92467,0
"823",7.93245,0
"824",8.61231,0
"825",8.59779,0
"826",8.96942,0
"827",9.07442,0
"828",9.13014,0
"829",8.51155,0
"830",7.70002,0
"831",7.58367,0
"832",7.51612,0
"833",8.0539,0
"834",7.68882,0
"835",7.3932,0
"836",7.47362,0
"837",7.47208,0
"838",8.98002,0
"839",8.38168,0
"840",7.97285,0
"841",8.07871,0
"842",7.77728,-2.68238
"843",7.9771,-3.69966
"844",7.90067,-2.82287
"845",7.26736,-2.84964
"846",8.38687,-2.90438
"847",9.29587,-3.80613
"848",9.01336,-3.22298
"849",8.84161,-3.08429
"850",8.89402,-3.24871
"851",8.76199,-3.1249
"852",8.74078,-3.70493
"853",8.21364,-2.12332
"854",7.60927,-2.26551
"855",9.00629,-3.03449
"856",8.11193,-2.97883
"857",7.68544,-3.33885
"858",7.67766,-3.01626
"859",7.50066,-2.92298
"860",8.0451,-3.05278
"861",9.13725,-2.36923
"862",7.44105,-3.49748
"863",8.89519,-2.31338
"864",9.83956,-4.24983
"865",9.72071,-3.38994
"866",8.06014,-3.833
"867",7.93396,-3.56667
"868",8.36883,-2.526
"869",8.47356,-2.4692
"870",8.97252,-3.28887
"871",8.33846,-2.39882
"872",9.07669,-3.28288
"873",7.97598,-2.38997
"874",7.73762,-3.50261
"875",8.02006,-2.85656
"876",8.05824,-2.77335
"877",8.18097,-2.0448
"878",7.62283,-3.37458
"879",8.33901,-2.5319
"880",7.33798,-3.15028
"881",8.10997,-3.42551
"882",8.10823,-3.25509
"883",8.09926,-3.32838
"884",8.16046,-2.49866
"885",8.89093,-2.60872
"886",7.7393,-2.62947
"887",7.80015,-2.98027
"888",7.55561,-2.96402
"889",7.54714,-3.25723
"890",8.87185,-3.21413
"891",8.14062,-2.68881
"892",8.70521,-3.0426
"893",8.75441,-3.51466
"894",9.19115,-3.1821
"895",7.15589,-3.58173
"896",7.09347,-3.20717
"897",7.0713,-2.81248
"898",6.96804,-2.85955
"899",7.05354,-3.66218
"900",7.81177,-2.49777
"901",8.23862,-3.56676
"902",8.06203,-4.29257
"903",7.80828,-4.29768
"904",7.74724,-4.14829
"905",8.00186,-3.93622
"906",7.40583,-2.74553
"907",7.02955,-2.42867
"908",7.25138,-1.98109
"909",7.53906,-4.19351
"910",7.24697,-3.3157
"911",8.9638,-3.13758
"912",9.35472,-3.30791
