"","beta[246]","beta[247]","beta[264]","beta[431]"
"273",0,-8.28403,11.0399,-12.8297
"274",0,-8.30031,11.0678,-12.6404
"275",0,-8.4756,11.092,-12.5572
"276",0,-8.46515,11.0884,-12.7594
"277",0,-8.31559,10.9523,-12.861
"278",0,-8.32948,10.9558,-12.6208
"279",0,-8.34805,10.7006,-12.8677
"280",0,-8.06533,10.8999,-12.7313
"281",0,-8.24194,10.9421,-12.5092
"282",0,-8.17817,10.8355,-12.3934
"283",0,-8.41278,11.0831,-12.7862
"284",0,-8.32818,10.961,-12.5835
"285",0,-8.43467,11.0788,-12.5461
"286",0,-8.32086,11.0583,-12.7638
"287",0,-8.28651,10.9979,-12.2933
"288",0,-8.21779,10.9393,-12.5014
"289",0,-8.10337,11.2099,-12.5126
"290",0,-8.25444,11.0702,-12.5073
"291",0,-8.10168,10.6544,-12.7823
"292",0,-8.22687,11.2624,-12.5523
"293",0,-8.21505,10.9794,-12.411
"294",0,-8.34133,10.8067,-12.4552
"295",0,-8.2127,11.2959,-12.7509
"296",0,-8.43494,11.1189,-12.6149
"297",0,-8.47902,10.8698,-12.7751
"298",0,-8.32159,11.0847,-12.493
"299",0,-8.33498,11.1335,-12.7447
"300",0,-8.20857,10.6696,-12.5626
"301",0,-8.09351,11.0098,-13.0967
"302",0,-8.24028,10.7505,-12.86
"303",0,-8.34692,11.0667,-12.6817
"304",0,-8.36365,11.0499,-12.6164
"305",0,-8.59342,11.0273,-12.931
"306",0,-8.41594,11.0197,-12.4789
"307",0,-8.15232,10.926,-12.4821
"308",0,-8.16488,11.1817,-12.7233
"309",0,-8.31094,11.2865,-12.513
"310",0,-8.0898,11.3805,-12.8101
"311",0,-8.17871,11.1639,-12.2644
"312",0,-8.29063,11.2043,-12.4755
"313",0,-8.1923,11.1952,-12.5733
"314",0,-8.42723,10.8063,-12.5468
"315",0,-8.11782,10.9678,-12.7807
"316",0,-8.214,11.1846,-12.7151
"317",0,-8.166,11.4074,-12.6922
"318",0,-8.39504,10.8709,-12.5263
"319",0,-8.53089,11.2307,-12.3819
"320",0,-8.38171,10.6442,-12.5378
"321",0,-8.29347,10.9001,-12.7461
"322",0,-8.11461,10.9992,-12.6078
"323",0,-8.0718,11.0492,-12.6054
"324",0,-7.9908,10.8475,-12.5467
"325",0,-8.08086,11.206,-12.8101
"326",0,-8.24183,11.0145,-12.3973
"327",0,-8.57442,11.1063,-12.8823
"328",0,-8.27375,11.119,-12.5917
"329",0,-8.36845,10.8862,-12.8841
"330",0,-8.18569,11.0641,-12.863
"331",0,-8.38462,10.9249,-12.3785
"332",0,-8.20838,11.2769,-12.6495
"333",0,-8.28917,11.0195,-12.5028
"334",0,-8.23783,11.1697,-12.7461
"335",0,-8.01603,10.9849,-12.4699
"336",0,-8.29209,11.0159,-12.7725
"337",0,-8.35872,10.9503,-12.8922
"338",0,-8.14055,11.1197,-12.7744
"339",0,-8.27511,11.0731,-12.5544
"340",0,-8.0846,11.0175,-12.7902
"341",0,-8.26337,10.9878,-12.6821
"342",0,-8.48335,10.8359,-12.8679
"343",0,-8.47961,11.0536,-12.7806
"344",0,-8.16903,10.8603,-12.6613
"345",0,-7.99105,11.058,-12.7708
"346",0,-8.19012,11.2165,-12.5526
"347",0,-8.2519,10.9677,-12.7192
