"","beta[115]","beta[161]"
"428",0,-3.12706
"429",0,-2.90545
"430",0,-3.26839
"431",0,-3.25835
"432",0,-3.03736
"433",0,-3.05628
"434",0,-3.15626
"435",0,-3.0155
"436",0,-3.06162
"437",0,-3.28722
"438",0,-3.07849
"439",0,-3.12382
"440",0,-3.03374
"441",0,-3.0172
"442",0,-3.15062
"443",0,-3.00856
"444",0,-3.00998
"445",0,-3.15706
"446",0,-3.16087
"447",0,-3.07166
"448",0,-3.10701
"449",0,-3.11944
"450",0,-3.06704
"451",0,-3.12891
"452",0,-3.1604
"453",0,-3.31062
"454",0,-3.17103
"455",0,-2.81738
"456",0,-2.74605
"457",0,-3.23981
"458",0,-3.11891
"459",0,-3.13793
"460",0,-3.22496
"461",0,-3.10411
"462",0,-3.01888
"463",0,-3.21237
"464",0,-3.16416
"465",0,-3.2172
"466",0,-3.28247
"467",0,-3.01449
"468",0,-3.15035
"469",0,-3.02519
"470",0,-3.1081
"471",0,-2.89846
"472",0,-2.93777
"473",0,-3.00805
"474",0,-3.12881
"475",0,-3.33458
"476",0,-2.97451
"477",0,-3.06732
"478",0,-3.19877
"479",0,-3.10778
"480",0,-3.10949
"481",0,-2.90279
"482",0,-2.85143
"483",0,-2.77283
"484",0,-2.77048
"485",0,-2.97391
"486",0,-3.04333
"487",0,-3.09667
"488",0,-3.10673
"489",0,-3.02075
"490",0,-3.005
"491",0,-2.98835
"492",0,-3.03656
"493",0,-3.0977
"494",0,-3.07372
"495",0,-3.04308
"496",0,-2.85558
"497",0,-2.79133
"498",0,-2.90445
"499",0,-2.90195
"500",0,-2.71372
"501",0,-2.75389
"502",0,-2.968
"503",0,-3.20527
"504",0,-3.22604
"505",0,-3.15865
"506",0,-3.08281
"507",0,-3.09511
"508",0,-3.03276
"509",0,-3.28183
"510",0,-3.15218
"511",0,-2.89906
"512",0,-3.03967
"513",0,-3.08128
"514",0,-3.00454
"515",0,-3.00196
"516",0,-3.2182
"517",0,-3.10092
"518",0,-3.1132
"519",0,-3.15459
"520",0,-3.14453
"521",0,-2.98888
"522",0,-3.0253
"523",0,-2.94936
"524",0,-3.04723
"525",0,-3.2602
"526",0,-3.29251
"527",0,-3.2016
"528",0,-3.33758
"529",0,-3.39467
"530",0,-2.85448
"531",0,-3.07023
"532",0,-3.12158
"533",0,-3.15807
"534",0,-3.19273
"535",0,-3.1489
"536",0,-3.08579
"537",0,-3.05683
"538",0,-3.11503
"539",0,-3.07504
"540",0,-3.0938
"541",0,-2.90573
"542",0,-2.97721
"543",0,-2.99077
"544",0,-3.05947
"545",0,-3.16953
"546",0,-3.08466
"547",0,-3.22384
"548",0,-3.32844
"549",0,-3.01255
"550",0,-2.99495
"551",0,-3.2527
"552",0,-3.08536
"553",0,-3.0136
"554",0,-2.99697
"555",0,-3.10791
"556",0,-2.98784
"557",0,-2.98689
"558",0,-3.04592
"559",0,-3.07728
"560",0,-3.1367
"561",0,-3.19214
"562",0,-2.70647
"563",0,-2.76596
"564",0,-2.88806
"565",0,-3.00806
"566",0,-3.02879
"567",0,-3.26389
"568",0,-3.2451
"569",0,-3.00792
"570",0,-2.8679
"571",0,-2.91839
"572",0,-3.19664
"573",0,-3.10008
"574",0,-2.95678
"575",0,-3.02077
"576",0,-2.86997
"577",0,-2.8651
"578",0,-2.72105
"579",0,-2.76934
"580",0,-2.53799
"581",0,-2.51997
"582",0,-2.4081
"583",0,-2.25629
"584",0,-2.3898
"585",0,-2.53012
"586",0,-2.5355
"587",0,-2.43478
"588",0,-2.3498
"589",0,-2.47013
"590",0,-2.45135
"591",0,-2.56399
"592",0,-3.06028
"593",0,-3.27324
"594",0,-3.0646
"595",0,-3.03872
"596",0,-2.98448
"597",0,-2.99533
"598",0,-3.06824
"599",0,-3.06203
"600",0,-3.06549
"601",0,-3.14135
"602",0,-3.02585
"603",0,-3.15537
"604",0,-3.07208
"605",0,-3.11574
"606",0,-3.00156
"607",0,-2.8863
"608",0,-3.25211
"609",0,-2.88816
"610",0,-2.84097
"611",0,-3.04733
"612",0,-3.14282
"613",0,-3.10353
"614",0,-3.05878
"615",0,-3.24383
"616",0,-3.29874
"617",0,-3.18087
"618",0,-3.17024
"619",0,-3.21779
"620",0,-2.91756
"621",0,-3.33756
"622",0,-3.1775
"623",0,-3.04653
"624",0,-3.04039
"625",0,-3.18843
"626",0,-3.12809
"627",0,-3.11045
"628",0,-3.21095
"629",0,-3.04202
"630",0,-3.27203
"631",0,-3.17303
"632",0,-3.07778
"633",0,-2.82535
"634",0,-2.90119
"635",0,-3.09469
"636",0,-3.30618
"637",0,-3.23265
"638",0,-3.01362
"639",0,-3.08096
"640",0,-2.95812
"641",0,-3.22794
"642",0,-3.03706
"643",0,-3.10172
"644",0,-3.40933
"645",0,-3.06599
"646",0,-3.12702
"647",0,-3.10327
"648",0,-2.88873
"649",0,-3.26619
"650",0,-2.92101
"651",0,-2.95389
"652",0,-3.07117
"653",0,-2.98222
"654",0,-3.03693
"655",0,-3.03299
"656",0,-3.03214
"657",0,-2.97967
"658",0,-3.04785
"659",0,-2.89756
"660",0,-2.99122
"661",0,-3.13587
"662",0,-3.06285
"663",0,-3.00471
"664",0,-3.01296
"665",0,-3.17689
"666",0,-3.21514
"667",0,-2.93075
"668",0,-3.21304
"669",0,-3.11923
"670",0,-2.95529
"671",0,-3.20842
"672",0,-2.97331
"673",0,-2.91633
"674",0,-3.02063
"675",0,-2.98173
"676",0,-3.10821
"677",0,-2.83346
"678",0,-2.869
"679",0,-3.23292
"680",0,-3.24089
"681",0,-2.86768
"682",0,-2.92676
"683",0,-3.03102
"684",0,-2.86695
"685",0,-3.14803
"686",0,-2.98914
"687",0,-3.19507
"688",0,-2.95673
"689",0,-2.83956
"690",0,-2.949
"691",0,-3.24424
"692",0,-3.06649
"693",0,-2.94583
"694",0,-3.06749
"695",0,-3.23852
"696",0,-3.03493
"697",0,-3.0655
"698",0,-3.12886
"699",0,-3.09157
"700",0,-3.11168
"701",0,-3.19666
"702",0,-3.09189
"703",0,-3.0884
"704",0,-3.13629
"705",0,-3.16181
"706",0,-3.0177
"707",0,-3.24673
"708",0,-3.10634
"709",0,-3.09609
"710",0,-3.30173
"711",0,-3.43839
"712",0,-3.40322
"713",0,-3.35707
"714",0,-3.28631
"715",0,-3.30181
"716",0,-3.32478
"717",0,-3.01464
"718",0,-2.88343
"719",0,-2.79303
"720",0,-3.05785
"721",0,-3.09179
"722",0,-3.05757
"723",0,-3.08834
"724",0,-3.04311
"725",0,-3.0953
"726",0,-3.05484
"727",0,-3.08432
"728",0,-3.13181
"729",0,-2.9892
"730",0,-2.98882
"731",0,-2.95906
"732",0,-2.94501
"733",0,-3.04974
"734",0,-2.96833
"735",0,-3.154
"736",0,-3.10626
"737",0,-3.16431
"738",0,-2.9237
"739",0,-2.751
"740",0,-2.97906
"741",0,-2.94766
"742",0,-2.94242
"743",0,-3.04215
"744",0,-2.87859
"745",0,-3.15069
"746",0,-3.07405
"747",0,-3.02876
"748",0,-3.1684
"749",0,-3.14716
"750",0,-3.0429
"751",0,-3.13214
"752",0,-2.83
"753",0,-2.89976
"754",0,-3.11021
"755",0,-3.2973
"756",0,-2.82194
"757",0,-3.0567
"758",0,-3.04708
"759",0,-3.05381
"760",0,-3.102
"761",0,-3.04713
"762",0,-3.16478
"763",0,-3.15463
"764",0,-3.04479
"765",0,-3.15237
"766",0,-3.15347
"767",0,-3.26689
"768",0,-3.09774
"769",0,-3.13372
"770",0,-3.1674
"771",0,-2.80768
"772",0,-3.01563
"773",0,-3.43275
"774",0,-3.19507
"775",0,-3.18635
"776",0,-3.16446
"777",0,-3.15937
"778",0,-3.16801
"779",0,-3.07994
"780",0,-3.04991
"781",0,-2.98412
"782",0,-2.89885
"783",0,-2.81458
"784",0,-2.82085
"785",0,-3.1309
"786",0,-3.0347
"787",-0.506944,-3.3567
"788",-0.557831,-3.65928
"789",-0.676113,-3.48613
"790",-0.590106,-3.56382
"791",-0.408269,-3.58073
"792",-0.575633,-3.41898
"793",-0.593073,-3.60663
"794",-0.497566,-3.69642
"795",-0.593226,-3.55309
"796",-0.207719,-3.33536
"797",-0.256984,-3.28709
"798",-0.383139,-3.39603
"799",-0.510907,-3.52242
"800",-0.46881,-3.5728
"801",-0.416439,-3.48031
"802",-0.457369,-3.45412
"803",-0.306767,-3.34552
"804",0,-3.29138
"805",0,-2.80936
"806",0,-3.33382
"807",0,-3.30364
"808",0,-3.13084
"809",0,-3.18387
"810",0,-3.16557
"811",0,-3.02586
"812",0,-3.16394
"813",0,-3.02155
"814",0,-2.9445
"815",0,-3.19794
"816",0,-3.09526
"817",0,-3.05435
"818",0,-3.08558
"819",0,-2.99563
"820",0,-3.33672
"821",0,-3.30403
"822",0,-3.02759
"823",0,-2.94585
"824",0,-3.20332
"825",0,-3.23634
"826",0,-2.87328
"827",0,-3.28688
"828",0,-2.8772
"829",0,-2.94955
"830",0,-3.09176
"831",0,-3.07557
"832",0,-3.13088
"833",0,-2.94676
"834",0,-3.00182
"835",0,-3.08667
"836",0,-3.1264
"837",0,-3.0652
"838",0,-2.95262
"839",0,-2.82031
"840",0,-3.037
"841",0,-3.28429
"842",0,-3.20363
"843",0,-3.31039
"844",0,-3.29149
"845",0,-2.87643
"846",0,-2.83138
"847",0,-2.86753
"848",0,-3.25842
"849",0,-3.05443
"850",0,-3.15274
"851",0,-3.02116
"852",0,-2.83505
"853",0,-3.1897
"854",0,-3.18179
"855",0,-3.01404
"856",0,-3.16583
"857",0,-2.97746
"858",0,-2.98696
"859",0,-2.97243
"860",0,-3.10124
"861",0,-3.11366
"862",0,-2.94108
"863",0,-3.16524
"864",0,-3.27185
"865",0,-3.21045
"866",0,-3.0443
"867",0,-3.07912
"868",0,-2.97519
"869",0,-3.12887
"870",0,-3.18376
"871",0,-2.90266
"872",0,-3.02899
"873",0,-3.01743
"874",0,-3.09997
"875",0,-3.08644
"876",0,-3.05174
"877",0,-3.15157
"878",0,-3.09509
"879",0,-2.97285
"880",0,-3.22462
"881",0,-3.06908
"882",0,-3.0624
"883",0,-2.9011
"884",0,-2.98343
"885",0,-3.1255
"886",0,-3.21699
"887",0,-3.22608
"888",0,-3.13993
"889",0,-3.14886
"890",0,-2.90186
"891",0,-3.09995
"892",0,-2.98608
"893",0,-2.98123
"894",0,-2.82562
"895",0,-2.6843
"896",0,-2.89704
"897",0,-2.83724
"898",0,-2.84108
"899",0,-3.04151
"900",0,-2.84804
"901",0,-3.21212
"902",0,-3.13653
"903",0,-3.19026
"904",0,-3.47501
"905",0,-3.46245
"906",0,-3.47741
"907",0,-3.6075
"908",0,-3.33696
"909",0,-3.59249
"910",0,-3.58858
"911",0,-3.53973
"912",0,-3.60199
"913",0,-3.35962
"914",0,-3.1905
"915",0,-2.96123
"916",0,-2.97697
"917",0,-3.26247
"918",0,-3.16695
"919",0,-3.02837
"920",0,-3.01073
"921",0,-3.00432
"922",0,-3.01991
"923",0,-3.20004
"924",0,-3.1141
"925",0,-3.1116
"926",0,-2.96614
"927",0,-3.24802
"928",0,-3.28226
"929",0,-2.92214
"930",0,-3.40513
"931",0,-3.36616
"932",0,-3.22941
"933",0,-2.83688
"934",0,-3.30702
"935",0,-3.03903
"936",0,-3.07256
"937",0,-3.16423
"938",0,-3.17551
"939",0,-3.27047
"940",0,-2.83837
"941",0,-2.69332
"942",0,-2.75783
"943",0,-2.93067
"944",0,-2.63045
"945",0,-2.83122
"946",0,-2.83452
"947",0,-3.00667
"948",0,-3.0394
"949",0,-2.91949
"950",0,-3.09403
"951",0,-3.14694
"952",0,-3.02561
"953",0,-3.16946
"954",0,-3.05061
"955",0,-3.14845
"956",0,-3.29734
"957",0,-2.8669
"958",0,-2.99652
"959",0,-3.24968
"960",0,-3.27986
"961",0,-3.29771
"962",0,-3.18495
"963",0,-2.89357
"964",0,-2.92388
"965",0,-3.03668
"966",0,-3.11805
"967",0,-3.19786
"968",0,-3.02615
"969",0,-3.1966
"970",0,-2.80878
"971",0,-3.03083
"972",0,-3.02723
"973",0,-3.0121
"974",0,-3.09599
"975",0,-3.00856
"976",0,-3.12384
"977",0,-3.12344
"978",0,-3.18678
"979",0,-2.98852
"980",0,-3.22979
"981",0,-2.83782
"982",0,-2.9811
"983",0,-3.21719
"984",0,-2.97363
"985",0,-3.10465
"986",0,-3.16141
"987",0,-2.98655
"988",0,-3.18691
"989",0,-3.17873
"990",0,-3.2137
"991",0,-3.19824
"992",0,-3.17706
"993",0,-3.00835
"994",0,-3.09767
"995",0,-2.80203
"996",0,-2.79345
"997",0,-3.35157
"998",0,-3.4259
"999",0,-3.26617
"1000",0,-3.08558
"1001",0,-3.06353
"1002",0,-3.03211
"1003",0,-2.96369
"1004",0,-2.93869
"1005",0,-2.95994
"1006",0,-2.95591
"1007",0,-3.16562
"1008",0,-3.17917
"1009",0,-3.20927
"1010",0,-3.29046
"1011",0,-3.29344
"1012",0,-3.35898
"1013",0,-3.1017
"1014",0,-3.19202
"1015",0,-3.20707
"1016",0,-3.02542
"1017",0,-2.99838
"1018",0,-2.60205
"1019",0,-2.29747
"1020",0,-2.71461
"1021",0,-2.66501
"1022",0,-2.60033
"1023",0,-2.74621
"1024",0,-2.77084
"1025",0,-2.57816
"1026",0,-2.52291
"1027",0,-2.80131
"1028",0,-2.82986
"1029",0,-3.25395
"1030",0,-3.03344
"1031",0,-3.1657
"1032",0,-3.04273
"1033",0,-2.87154
"1034",0,-2.84942
"1035",0,-2.83468
"1036",0,-3.16824
"1037",0,-3.19299
"1038",0,-2.99588
"1039",0,-3.02719
"1040",0,-3.08432
"1041",0,-3.19157
"1042",0,-3.26445
"1043",0,-3.27956
"1044",0,-2.88019
"1045",0,-2.97515
"1046",0,-3.23383
"1047",0,-3.32747
"1048",0,-3.37319
"1049",0,-3.36534
"1050",0,-3.34964
"1051",0,-3.48744
"1052",0,-3.56342
"1053",0,-3.44343
"1054",0,-3.03199
"1055",0,-3.01519
"1056",0,-2.83568
"1057",0,-3.34529
"1058",0,-3.10963
"1059",0,-3.05478
"1060",0,-2.97814
"1061",0,-2.93724
"1062",0,-2.95841
"1063",0,-2.97216
"1064",0,-3.25124
"1065",0,-3.13103
"1066",0,-3.36918
"1067",0,-3.14994
"1068",0,-2.97122
"1069",0,-3.20713
"1070",0,-2.94957
"1071",0,-2.90119
"1072",0,-2.97405
"1073",0,-3.10695
"1074",0,-3.00772
"1075",0,-2.96441
"1076",0,-3.03822
"1077",0,-3.10944
"1078",0,-2.9678
"1079",0,-3.07721
"1080",0,-3.20963
"1081",0,-2.88457
"1082",0,-2.79454
"1083",0,-3.34697
"1084",0,-2.68772
"1085",0,-2.56849
"1086",0,-2.58149
"1087",0,-2.62502
"1088",0,-2.67726
"1089",0,-2.65076
"1090",0,-2.6635
"1091",0,-2.64267
"1092",0,-2.64204
"1093",0,-2.63166
"1094",0,-2.6403
"1095",0,-3.13332
"1096",0,-3.23718
"1097",0,-3.07858
"1098",0,-3.06054
"1099",0,-3.28714
"1100",0,-3.33235
"1101",0,-3.34854
"1102",0,-3.19863
"1103",0,-3.01924
"1104",0,-3.06612
"1105",0,-3.16706
"1106",0,-3.09234
"1107",0,-3.08689
"1108",0,-3.00139
"1109",0,-3.22829
"1110",0,-3.1241
"1111",0,-3.12507
"1112",0,-2.92701
"1113",0,-2.97152
"1114",0,-2.98039
"1115",0,-3.01584
"1116",0,-2.95262
"1117",0,-3.01116
"1118",0,-2.97122
"1119",0,-3.10963
"1120",0,-2.98187
"1121",0,-3.00674
"1122",0,-3.03232
"1123",0,-3.11582
"1124",0,-2.91841
"1125",0,-3.01178
"1126",0,-3.24862
"1127",0,-3.23476
"1128",0,-2.93673
